pvalue;logFC;gene
2.46262590101731e-25;15.0709394690239;ADIPOQ
6.38444043675494e-24;14.6879461179842;LINCADL
3.17479637785335e-23;14.4156727410653;THRSP
7.68025376709835e-23;14.2877223083318;LINC02996
1.47675279861523e-39;13.5055535491065;GPD1
3.71847480087802e-20;13.4130585978466;SAA2
4.47518979991275e-36;12.9012914137229;MTCO1P40
3.20118391272923e-18;12.7700340427029;MAL2
3.2409256322114e-18;12.7641538018417;KRT15
9.99693896788116e-18;12.59815290012;DEFB132
1.03506435971626e-33;12.462230513678;DGAT2
8.56836941079117e-17;12.2916677803524;KLB
1.14236320365644e-15;11.8950071599243;LOC105375587
1.21840764365585e-14;11.5424883264989;HBM
1.25799779720918e-28;11.5080463105145;TRARG1
5.98116325948983e-183;11.4742881250234;PPP1R1A
5.14080975103564e-14;11.3209477896479;SULT1C2
2.023552044911e-26;11.0743662935939;HBD
4.13281144416134e-13;11.0079824244997;EPB42
1.07724714517951e-12;10.8693220126903;GLYAT
1.52711626247598e-12;10.8117719844973;MYEOV
2.25208748580372e-12;10.7548338648923;KRT77
2.39707979179353e-12;10.7409688578881;AADAC
1.50257136838157e-239;10.6869767070821;PLIN1
5.25615110453143e-13;10.6750483355191;AZGP1
9.24571345289795e-12;10.5384764005503;ADIPINT
1.72752144099027e-11;10.4488223225741;LOC124903659
1.95764198348622e-11;10.4451283854184;HEMGN
2.44428123579014e-11;10.3891485181991;LINC01484
2.62593255410169e-11;10.3840844099548;MYMX
6.7987558567304e-11;10.2837463067082;IRX6
2.09129386746875e-22;10.2676471236785;CA1
1.01784834881263e-08;10.2288395471044;RNU5B-1
3.5351073285366e-110;10.1637961440522;AQP7
1.47997291607553e-10;10.1177356641327;HEPACAM
1.79622292122037e-21;10.0787695317018;DCD
3.587147466572e-10;9.9796099441077;HLA-V
1.35943177293674e-08;9.87626756223921;LOC105369488
1.14382461083727e-09;9.8174581343481;HBG2
1.19902708431241e-09;9.79462833421061;ADIPOQ-AS1
5.11828181376182e-20;9.77560293863502;SCGB2A2
0;9.75629995498287;HBB
1.91238913316337e-09;9.72196118286387;LINC01485
3.16704567441536e-09;9.66019347596666;LINC01152
4.16323377904398e-19;9.59836768423789;RNU4-2
4.41741591900906e-19;9.58051081958397;OSTN
4.56522403702609e-07;9.51444806967235;RNU4-1
1.39419358739151e-08;9.41056177836355;SLC2A2
2.09494787576628e-08;9.39536418791947;ELF5
3.46376210718059e-18;9.39118689559428;SLC7A10
2.65313747369602e-08;9.33089623072762;KRT79
2.46429105827588e-08;9.32028356907027;LINC02607
2.82006474508221e-08;9.31229292608756;TMEM213
2.75217886400916e-109;9.27901674393773;RBP4
3.35552100260404e-08;9.27156561197957;SIM1
3.48361593842543e-08;9.26882183111671;HBQ1
4.87112158753897e-08;9.21829659060205;FOXG1
6.92703551464741e-08;9.16593228625455;LINC02863
6.92703551464741e-08;9.16593228625455;DBET
9.53131126556577e-08;9.1568564757001;MIR205HG
1.00536889717956e-07;9.11158798716557;SNTG2-AS1
1.25452359956214e-07;9.10530765404157;RNU5A-1
1.48622587000773e-07;9.08376466558216;BICDL2
1.51770013425229e-75;9.07981068762808;MLXIPL
2.45451652055443e-07;8.94895102597892;KRT73
1.39476674546061e-08;8.85738521800488;LINC01766
9.37271240831958e-84;8.85395520015889;ALAS2
1.23546950951617e-15;8.84326182991188;ZG16B
2.70484986995354e-29;8.8194884257066;SAA1
1.74486433559436e-15;8.8150730367604;AHSP
4.95446461150032e-29;8.78628656814471;LGALS12
2.47086663914452e-68;8.76165971943364;HSD11B1-AS1
1.37148778068114e-06;8.70585524087169;ARHGAP40
1.1788647446428e-06;8.68522903804655;MAB21L1
1.25411622949611e-06;8.68109785864871;AQP5-AS1
1.56480894185572e-06;8.67269669396702;TBX5
1.56480894185572e-06;8.67269669396702;WWC1
0;8.64649096709094;LPL
3.92783773981481e-21;8.62419331601157;PFKFB1
1.77116641355121e-06;8.62181273736654;NLRP6
1.86556591862405e-06;8.60884002180627;GSC
1.86556591862405e-06;8.60884002180627;RNVU1-7
2.27754075373526e-06;8.60004171771535;SLC25A48
2.65963928505825e-06;8.59554009523078;LINC01287
3.04103917607897e-06;8.52817085045828;MUCL1
3.04103917607897e-06;8.52817085045828;HGC6.3
