"pvalue";"logFC";"gene"
"1,29E-24";"3,886884515";"HLA-DRA"
"1,54E-22";"3,819377408";"CXCL9"
"2,21E-22";"3,813916048";"C1QB"
"1,11E-20";"3,753077785";"C1QC"
"1,17E-20";"3,75220542";"IDO1"
"2,97E-19";"3,698389617";"C1QA"
"3,86E-19";"3,693544784";"GBP5"
"4,23E-19";"3,691971348";"RGS1"
"8,09E-19";"3,680709154";"HLA-DRB5"
"9,55E-19";"3,67763479";"FYB1"
"1,68E-18";"3,667470645";"ALDH1A1"
"1,91E-18";"3,665208449";"ADH1C"
"2,38E-18";"3,661271814";"GBP4"
"2,70E-18";"3,65889783";"SRGN"
"4,36E-18";"3,650116315";"HLA-DQA1"
"1,10E-17";"3,632880044";"LYZ"
"2,55E-17";"3,616997933";"PTPRC"
"2,98E-17";"3,613981212";"MYEOV"
"3,04E-17";"3,613471698";"FCGR3A"
"1,24E-18";"3,611600039";"HLA-DPA1"
"1,54E-18";"3,607463694";"COL3A1"
"5,09E-17";"3,603477767";"AOC1"
"5,11E-17";"3,603413969";"FGL2"
"2,98E-16";"3,568244272";"CYBB"
"3,31E-16";"3,566256707";"CD163"
"3,76E-16";"3,563420896";"TYROBP"
"4,44E-16";"3,560179247";"PIEZO2"
"4,43E-16";"3,560077413";"GZMB"
"4,72E-16";"3,558766176";"MS4A6A"
"4,91E-16";"3,558312514";"MS4A7"
"5,48E-16";"3,555664171";"CXCR4"
"5,96E-16";"3,554081067";"GPRIN2"
"5,03E-17";"3,541287593";"COL1A2"
"1,26E-15";"3,538243783";"A2M"
"6,13E-17";"3,537390987";"HLA-DPB1"
"1,59E-15";"3,53329062";"SLAMF7"
"2,16E-15";"3,526963028";"TMEM176B"
"2,26E-15";"3,525786149";"TRIM31"
"2,52E-15";"3,5235494";"LILRB4"
"2,80E-15";"3,521178663";"POU3F3"
"4,26E-15";"3,512154849";"UGT3A1"
"4,60E-15";"3,510931083";"MXRA5"
"4,75E-15";"3,509745808";"CASP4"
"5,40E-15";"3,506896022";"ADA2"
"6,11E-15";"3,504150954";"ITGAL"
"1,02E-14";"3,492834978";"RHEX"
"6,14E-16";"3,490204457";"HLA-DQB1"
"1,40E-14";"3,485790757";"SLA"
"1,56E-14";"3,483351396";"NCKAP1L"
"1,60E-14";"3,483297674";"PRF1"
"1,63E-14";"3,48238646";"SULF2"
"2,46E-14";"3,473024057";"ADCYAP1"
"3,24E-14";"3,466757481";"LCP2"
"4,02E-14";"3,461728934";"PLEK"
"4,13E-14";"3,461624858";"SLCO2B1"
"4,10E-14";"3,461394472";"TMEM176A"
"4,30E-14";"3,460174651";"GZMA"
"1,97E-39";"3,459579795";"HLA-DRB1"
"4,53E-14";"3,458905347";"SERPINB9"
"6,92E-14";"3,449318571";"EPS8L3"
"7,05E-14";"3,448515377";"VSIG4"
"7,53E-14";"3,447307187";"GIMAP4"
"4,66E-15";"3,446003019";"SERPING1"
"9,35E-14";"3,441798726";"RTP4"
"1,03E-13";"3,439852148";"CD3E"
"8,49E-15";"3,432477562";"PTGIS"
"1,41E-13";"3,43220766";"CYTIP"
"1,47E-13";"3,431079009";"CCL4"
"1,59E-13";"3,429196756";"TIMP3"
"1,63E-13";"3,429178581";"INPP5D"
"2,05E-13";"3,4237653";"SPI1"
"2,48E-13";"3,418610804";"PRDM1"
"2,48E-13";"3,418569543";"DOK2"
"2,75E-13";"3,415901736";"GZMH"
"1,89E-14";"3,414102422";"TMEM47"
"3,55E-13";"3,409704006";"CD7"
"5,49E-13";"3,399134223";"LILRB1"
"6,38E-13";"3,395088578";"IRF8"
"6,67E-13";"3,39436974";"RASAL3"
"7,07E-13";"3,39249204";"DNAJC15"
"4,74E-14";"3,392202444";"NKG7"
"7,45E-13";"3,391421823";"GRAMD1B"
"7,73E-13";"3,391014991";"LRRK2"
"7,56E-13";"3,390860056";"TSPAN8"
"7,67E-13";"3,390813029";"CD2"
"7,94E-13";"3,389597427";"OR2I1"
"8,80E-13";"3,388477545";"SAMSN1"
"8,44E-13";"3,388112265";"CXCL10"
"9,10E-13";"3,386145293";"CD34"
